Station_ID,longitude,latitude,label,MAE,ME,Pearson r,PSS
64243,17.33908333,-18.4725,SASSCALWN,1.5701457880221112,1.250671201984742,0.5512665074186575,0.6860067650362309
25,25.45,-24.9,SASSCALWN,2.4396731495470543,2.3859024614130564,0.6057242969120133,0.25044017672104596
68588099999,30.950519,-29.970089,NCEI,1.2041741621670878,0.2086036867631978,0.6814301202046619,0.8043697903510987
68491099999,32.4166666,-28.2,NCEI,1.7776935407004364,1.641250318618995,0.7425694545291516,0.6512670881599952
108,14.77008333,-17.84286111,SASSCALWN,1.8178830997529185,1.5820787410294526,0.40814724089024085,0.6117715012476556
65934,24.526694,-17.544722,SASSCALWN,0.8708310541910204,0.00847815263713757,0.6527763214714822,0.8917770695377705
68478099999,29.8833333,-29.0,NCEI,1.6203825310598934,1.465212400537759,0.6303355450694405,0.6083690131460023
23,25.7,-24.98,SASSCALWN,1.9245300512764725,1.7279738590227882,0.6092030694935395,0.42604713984846887
68817099999,18.4333333,-33.9,NCEI,2.0013819462292615,1.0453540952349143,0.709177904328382,0.8215558559665725
858580,20.62504,-26.76178,SASSCALWN,1.672720884307807,1.2364659340116997,0.6106185075502609,0.7272415600495367
68928099999,22.15,-34.1833333,NCEI,2.5466952943921544,2.304472282764169,0.6695890022837189,0.6707075056747462
68513099999,17.2833333,-30.2,NCEI,1.3092629201652546,0.01953156122092455,0.8193465419089363,0.8441496222061662
TA00531,23.391434,-17.574295,TAHMO,1.8518019697615773,1.8250516582560885,0.6478965449605452,0.4682743970400622
68267099999,29.9833333,-26.5,NCEI,1.1728964955530778,0.09503950476915833,0.6797446759757935,0.8974874371859295
68546099999,26.7166667,-30.7166667,NCEI,1.8262073249993365,1.3604281878469475,0.6168490898237545,0.7172889781109625
68335099999,24.7666666,-27.55,NCEI,1.451924542166555,0.9660560863485671,0.6907403455323393,0.8204426001112182
68633099999,24.95,-31.1833333,NCEI,1.938993688666141,1.6214136778131547,0.7688062227335494,0.7388431839717867
67593,28.69675,-22.48983,SASSCALWN,1.2137292207059807,0.7312975306887501,0.7589465444302987,0.8260836105778182
68715099999,18.7166666,-33.4666666,NCEI,2.427620763712621,2.3603476761294084,0.7139378054552823,0.4100442165406775
68024,21.653167,-21.715083,SASSCALWN,1.5443620524767594,1.0889634928745668,0.6046360184840639,0.765303347772585
31212,15.294806,-17.678528,SASSCALWN,1.8891141940796374,1.77821739694377,0.48713520742494376,0.5149779402358772
68712099999,17.85,-32.8333333,NCEI,1.5218601690451132,0.13420480500639329,0.7823054206718653,0.8383959659022691
31215,15.863,-26.20761111,SASSCALWN,1.635528685789698,0.4122937659308433,0.6253309961523675,0.854330159419104
80493,14.964558,-20.168004,SASSCALWN,2.142698904574532,1.8472510042310344,0.6340126726415732,0.7352100428623853
E7627,15.05627202,-23.26530003,SASSCALWN,1.4384012319003654,0.10727714475694551,0.6616894398499795,0.9238087989039431
68155099999,27.7,-23.6833333,NCEI,1.3224692355641128,1.15578803643848,0.6923775076681892,0.4389334468225216
31213,18.9039,-19.0101,SASSCALWN,1.6983034021624632,1.3987494071633222,0.49022976909139815,0.6638566220088308
104,17.834583,-25.31275,SASSCALWN,1.6057110273799795,0.5829951212452206,0.4310373684808659,0.8580099440185706
68647099999,26.8833333,-31.9166666,NCEI,1.8233974882459136,1.204798507237192,0.6976550787906656,0.6144181507684802
68827099999,18.5,-33.9,NCEI,2.165066848833988,1.3702014985628959,0.3396101080708665,0.7186470737268812
68148,26.859222,-23.112528,SASSCALWN,1.9962700565399496,1.8086145155995008,0.5477602247138164,0.6355178359147294
858585,18.60281,-31.28616,SASSCALWN,1.2656465497371396,0.4581810986904083,0.792655182794116,0.9226805886508251
21,25.43,-25.08,SASSCALWN,2.609550322565756,2.5262488454149015,0.6181292997412712,0.2858883791435112
